"","Year","Date","Start","End","Location","Site","Habitat","Transect","Swath","Taxonomy","Family","Count","Total_Length","Length_Anomaly","Biomass","Coarse_Trophic","Fine_Trophic","Cloud_Cover","Wind_Velocity","Sea_State","Swell","Visibility","Surge","Diver"
"1","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Caracanthus maculatus","Scorpaenidae",2,25,"0",0.71,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"2","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Nemateleotris magnifica","Gobiidae",2,30,"0",0.94,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"GB"
"3","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Nemateleotris magnifica","Gobiidae",4,35,"0",2.95,"Planktivore","Planktivore_exclusively",5,1,0,0,28,0,"GB"
"4","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Neocirrhites armatus","Cirrhitidae",1,35,"0",0.56,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"5","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Paracirrhites arcatus","Cirrhitidae",2,15,"0",0.07,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"6","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Paracirrhites arcatus","Cirrhitidae",1,25,"0",0.19,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"7","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Paracirrhites arcatus","Cirrhitidae",1,45,"0",1.27,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
"8","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Plectroglyphidodon johnstonianus","Pomacentridae",1,35,"0",1.66,"Secondary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"9","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Plectroglyphidodon lacrymatus","Pomacentridae",1,10,"0",0.01,"Primary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"10","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Plectroglyphidodon lacrymatus","Pomacentridae",2,15,"0",0.1,"Primary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"11","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Plectroglyphidodon lacrymatus","Pomacentridae",1,20,"0",0.12,"Primary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"12","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Plectroglyphidodon lacrymatus","Pomacentridae",1,35,"0",0.74,"Primary Consumer","Omnivore",5,1,0,0,28,0,"GB"
"13","2010","2010-08-06","11:00","12:05","LTER 1 Forereef Fish Transect 1 Swath 1 m",1,"FO",1,1,"Pseudocheilinus tetrataenia","Labridae",1,25,"0",0.2,"Secondary Consumer","Benthic Invertebrate Consumer",5,1,0,0,28,0,"GB"
